ItemID,SentimentText
92,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
93,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
94,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
95, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
96,  mi momacita won't let me go to my bf's bball game!!! grrr!!!
97,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
98,  My new car was stolen....by my mother who wanted to go pose at church.
99,"  no hang out with the girls 2day. 2moro, hope so......"
100,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
101,  no pavel tonight &lt;Tigersfan &gt;
102,  not a cool night.
103,  oh thank you!
104,  pleased
105,  probably guna get off soon since no one is talkin no more
106,  really wanted Safina to pull out a win &amp; to lose like that...
107,"  RIP, David Eddings."
108,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
109, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
110,  so whats the status on next weekend
111,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
112,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
113,"  Thanks, I need all the help i can get."
114, - that explains alot.
115,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
116,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
117,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
118,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
119,  u guys knw whyy
120,  very much so 
121,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
122,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
123,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
124,  where is my picture i feel naked 
125,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
126, - Why must people be so picky. I mean 6 hours work and no dice!? what�s up with that! http://tumblr.com/xsg1m3ufn
127,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
128,  wide awake   NOT!!!
129,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
130, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
131,  you'll always be my one and only...  [12*23*2007]
132, #3turnoffwords this shit sucks
133, #asylm J2 panel is over. Guess it's back to normal life.
134, #poemsunder140 ....started by @shannonelyse1
135, #squarespace brighten my bad day! i never win anything...
136," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
137, #twenty20
138," &lt;--- That is all, and believe me.. it's enough!"
139, &lt;3 goooood timessss
140, &lt;3 GrAdUaTE 09&lt;3
141," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
142, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
143, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
144, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
145, &quot;I want you so bad it's driving me  mad&quot;
146, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
147, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore � Decode @Daninho502  ? http://blip.fm/~5ytke
148, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel)
149," &quot;well, the truth is I miss you so&quot;- Coldplay"
150, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
151, (unsure) (annoyed) http://plurk.com/p/1230lz
152, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
153, *BeautifulyLost
154,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!
155,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! 
156,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. 
157," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
158,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . "
159,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*
160, .. i wantt hiim soo badd !!
161," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
162, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...
163, ... Rained out truck race
164, ... Why am I feeling worse??? F!!!
165, .... Feeling pain and happiness at the same time. How confusing!
166, ..... hot choco is the best!
167, ....in a shirt and panties. celulite
168, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
169, ..y everything is so hard? :/
170, .bueno good bye. good night
171, : Beach day with Scoobs. =( : Still no phone.
172," : Let's have fun,. When I give ya what I give ya."
173, :[ I don't want to move!!!
174," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
175, @ canaveral national  seashore
176, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
177, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
178, @ the train crash in DC .....
179,' @ Thestreetforce  '
180, @3sixty5days makes me smile.
181," @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
182," @adbert: &quot;#Video [Woody Woodpecker – The Barber of Seville] I am great, @klitoria, just wishing to be a ch... ♫ http://blip.fm/~7g6r0"
183, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
184, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?
185, @AmericanWomannn Well that sure minimizes the impact...LOL
186," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
187, @CharlottegC I just saw ur mum
188, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
189,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024"
190, @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7
191,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
192, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
193, @dandelionas is making fettucini and garlic bread!
194, @danregal  tell @pfont i said Happy BDay!! 
195,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML "
196," @DirtyRose17  told you, you would sweep haha :-p"
197, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
198,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
199," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
200,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics"
201, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
202, @Glamicole ..now who wud make this beautiful plc cry?
203, @HaterMagazine: @damienrandle it is now the outer fat kid.
204,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
205," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... ♫ http://blip.fm/~7s7mn"
206," @hellopnsdear se MORREA a mi Joseph, no no se vale."
207, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR
208, @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
209, @iamyas awesome
210, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
211,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! 
212,- @joaoqalves Think again   Talvez seja do ênfase na cifra. Mas atenção: &quot;Security is a chain; it's as strong as the weakest link …
213, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
214,- @JuicyJones I know.. SOLD OUT though. 
215,- @kaitymarine - watch E3 @MCMudkips - Will do 
216,- @katherineholden Thanks K! Here's hoping! Pretty nervous though... 
217, @katiedontcry should get on aim and talk to me. i miss her.
218, @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
219," @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y"
220, @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL
221, @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!
222," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
223,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* "
224, @lolife4life where r u tonite im still awake!
225, @lorinimus hates Bebot App
226," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
227, @MelodyChase
228, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
229, @michaelsarver so do you give him every inch of your love every night?
230, @mimbles @WParenthetical
231,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. 
232," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
233,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
234, @Oneshine What are u referring to?
235, @plmusic22
236,"- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol"
237, @RAPPUBLICIST HAPPY MOTHERS DAY!
238,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! "
239,                                     I miss her so much already...
240,               just practising.....how I feel       
241,            Miss my love Jamie
242,          FUCK YOU!
243,        my head feels like a bowling ball
244,        my heart hurts badly...
245,       FS keeps crashing when I try to load Bungie plane.
246,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    
247,     ....    My mood is currently BLAH . Sitting in a parking lot
248,     I am happy     
249,    ...that is all.
250,    everyone went home. and not everyone was even here! ~CMF &lt;3
251,    fed up....
252,"    fuck, fuck, fuuuuck!"
253,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!"
254,   @Beansummer
255,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt "
256,   bed time now....
257,   Faltam 4 dias para o World Drawing day
258,"   Friends like these ... no thanks, I'm not fake! ^ ^"
259,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.
260,   i think my bf is cheating on me!!!!     
261,   i wanna play with my camera but i will settle for playing with iv's and heart monitors
262,   i want an octo drive
263,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!"
264,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work
265,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight
266,  --- is our response to what happened today. and that is all.
267,"   J, you are right... it hurts."
268,"   kinda but not really, but kinda "
269,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back"
270,   lol all these #robotpickuplines are hilarious 
271,"   man, oh man     (i should punch myself in the head, but im ok with that)"
272,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
273,"   No man is worth your tears, and the one that is won't make you cry!"
274,   rain rain go away!
275,   storms are scary!
276,   such a beautiful satisfying day of bargain shopping. loves it.
277,   Tell those girls your clocking out lol
278,   thank god today is friday !!! I love Ti Ti! &lt;3
279,   the batt to my internet connection died.  Guess its back to the mobile!
280,   thrilled about being at work this morning   
281,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
282,   www.apple.com/iphone now has it for the 18th   
283,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot 
284,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l
285,                                           exhausted
286,          i want some ben&amp;jerrys cake batter please ugh
287,          my life is very lazzzzyyyy!!!!!!!            ***********
288,"        wish ella was on or somebody,,,,"
289,       ish in a good mood .....tlk to me
290,      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean
291,      what the hell BBC?
292,     #canucks
293,     I dont like this weekend.. Huhuhu ( (
294,     I'll get on it right away!
295,-     J + A MADE NiCE..... TWiCE!                     for now ;]
296,     loves life atm!   its brilliant XD
297,     who else is in a happy mood?? =D
298,    !BYE EVERYONE!   
299,    ...lonely night
300,    blue does not work      
301,    geez I'm feeling their pain
302,    i miss my summertime daley.
303,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        "
304,    SO FAR SO GOOD!
305,    TODAY WAS A GREAT DAY!!!
306,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
307,   #Battleground
308,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot."
309,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt 
310,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html
311,   eh  must leave New Mexico and soon!
312,   fail maths  i knew it i was just too slow 
313,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries"
314,   fuck sake. Why can things never work out for me?
315,"-   going in town todaч with mч cousinnn, [ч]     netball match was cancelledd "
316,   hoping to see my baby girl
317,   i don't even know.
318,   I just lost a member of my family 
319,   I'm SICK of bedtime battles   
320,   i'm so cold this morning......       i have chills all over.....   
321,   Just... 
322,   No no no. Tonight goes on the books as the worst SYTYCD results show.
323,   no shopping   
324,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
325,  -- that's an EPIC sad face.
326,   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c
327,   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy
328,   wanna go meet wifey but can't....  this sux   :'(
329,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata 
330,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY"
331,  #IranElection - no one realizes how deep this goes.
332,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )
333,"  &lt; that is the story of my life, a whole bunch of frownies!"
334,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      
335,             i just want to hear from you. i guess that's asking too much..
336,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
337,       i really2 don't like this condition. sucksssssss
338,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!"
339,      rinitis sucks!!!!!
340,      thanks for being the bestttttttttttttttttttt J-dawg
341,     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.
342,     &lt;- but mustache man is not that desperate
343,     &lt;--------- my face because i'm missing zoro tonight.
344,     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*
345,     angry
346,     praise God for this beautiful day!!!     
347,     sry matt 2 hear that (
348,     what the fucccckkkkkkkkkk
349,    Bye World!!!!!!
350,    i couldnt even have one fairytale night
351,    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.
352,"    My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck"
353,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess"
354,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
355,   (must i say more?)
356,   *old me's dead and gone*
357,   ... have to go now ??? 13 more minutes   ... please please please
358,   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg
359,   @PERFEKTnCHANCE (Chance) is Boo #29
360,   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.
361,   awwwww i really hate this.
362,   bad day.
363,   bad day.....damn you @311. What kind of ticket sale was that.....
364,   Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc
365,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!
366,   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure
367,   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk
368,   CRY CRY CRY   
369,   F**kn day...
370,   Goodnight   
371,   grandma is very sick. not doing well. going to the emergency room.
372,   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     
373,   I am going to shed tears if the Cavs have to go home tonight. Like seriously
374,   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years
375,   I hate you forever.
376,   I have passed 70-542 exam today   
377,   i missed it
378,   i still Feel like a Douchebag
379,   I want to write a song. I think I will.
380,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'. 
381, @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS
382,"- @SlashHudson you tease, i wanna hear the tracks!! "
383, @sommacolada never answering my im's
384, @soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces
385, @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace
386, @SRenaeNae... What is 'FML'
387, @sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan 06/04/2009 ---... ♫ http://blip.fm/~7qdf0
388, @Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H
389, @THEDIAMONDCOACH  Im sure he'd love that LOL
390, @theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm
391, @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.
392, @va_songstress broke my twitter..
393, @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc
394," @weselec My avatar can't figure out what you people are, either. http://tr.im/jj70"
395, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?
396," @yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l"
397, @zochula just yelled at me for picking apple store over food.
398, @ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk
399, =&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7
400, 1 of me cats kittens died only 3 days old too..RIP ming.
401, 1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb
402,"- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body. "
403, 3 hrs on da phone...lol dude is hilarious
404,- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish 
405, 5 gb of video to upload to utube :O dam sony vegas making it so big 
406, 50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?
407, a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now
408, A blessed sunday everyone!
409,=- A couple years of sickness all piled up to this one day
410, A dog riding the bicycle http://bit.ly/gvMzD
411," a fly just landed in my green chile stew. i've never been big on killing bugs, but this asshole asked for it. There goes my appetite"
412, A problem shared is a buck passed
413, A_ just got the same handshake in her meeting. Vibe here sucks
414, ดู�?บไต๋ hitech
415,  (Jonah:whats a tweet!?) SHARON!!!!!!!!!!!!
416,  alice is beating be at my scooby doo board game!
417,  am quite tired can't wait till wwe at burswood &lt;3
418,  anyone have any advice on how to cope with a break up?
419,"  arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it, all lines of communications are temporarily suspended! "
420,"=-  awake, and ready for the day"
421,  Being NASTY in the studio with my woman!!!  Go SLEEPIES!!!
422,  but i understand.
423,  cars being inspected today gonna cost me over 600 dollars 
424,  e is OUT!
425,  everythings wrong.
426,  Exercise 2 build muscle mass is only thing that speeds metabolism: http://tinyurl.com/bvagbj
427,  feeling ok for the first time in a few days. thank you!
428,"  found a new way to text him, yey!"
429,  friends dying is just horrible.
430,  going for a paddle 2moz 
431,  Good Nite.  I hope Grandma visits my dreams again tonight.  Last Night was uplifting...  I miss her.
432,  Goodbassplayer... that is funny.... ;)  OilIPO.... I hope the people that will bring us good things are started early this week... 
433,  He was the best there.
434,  Hungover........ and craving chocolate! OMG how funny was the pub last night!! LOL
435,  I dont want my sister to leave me for the whole summer!
436,  i hope everyone is at church so i can just go to my concert in peace on wed.  dont have to worry about rushing back to church to visit
437, - i just spilt the last of my jordans cereal on the floor i’m distraught http://tumblr.com/xxw2329lh
438,  I miss my family and friends.
439,  I see I missed the nectar sucking dirty talk ;)
440,  I want a freaking puppy now! A cute little black yorkshire terrier.
441, - I want irissa back http://tumblr.com/xpn1wrj48
442,  I'm glad diversity got through...but what about stavros!  
443,  I'm here to tell ya ... very yummy.  Decided to go on a hunt for blender drinks ... know any good ones?
444,  I'm out of Nutella  
445,  is it rlly tht serious? I'm abt to go thru my fonebook...
