Positive,Neutral,Negative,Compound,numQuest,numChars,numPers
0,0.791,0.209,-0.6467,0,117,2
0.151,0.849,0,0.5255,0,128,4
0.092,0.661,0.247,-0.6412,0,134,4
0,1,0,0,0,113,6
0.276,0.724,0,0.6369,0,83,3
0.264,0.541,0.195,0.2859,0,70,4
0,1,0,0,0,28,2
0.457,0.543,0,0.8779,0,85,4
0,0.909,0.091,-0.1779,0,116,9
0,1,0,0,0,26,3
0.15,0.399,0.451,-0.6144,3,35,3
0.29,0.398,0.312,-0.1007,0,65,5
0.473,0.527,0,0.6696,0,29,5
0,1,0,0,0,37,5
0,0.884,0.116,-0.3597,0,129,7
0,0.468,0.532,-0.5491,1,30,2
0.659,0.341,0,0.7003,0,28,2
0,0.761,0.239,-0.296,0,46,2
0,1,0,0,0,50,2
0,0.37,0.63,-0.6246,0,27,0
0.471,0.449,0.08,0.8702,0,85,3
0,1,0,0,0,31,0
0.052,0.948,0,0.0258,0,145,0
0.216,0.784,0,0.6705,0,134,6
0,0.649,0.351,-0.4019,0,30,5
0,1,0,0,0,21,0
0.455,0.545,0,0.3612,0,29,1
0,1,0,0,0,131,4
0.261,0.739,0,0.7184,0,143,4
0.488,0.512,0,0.9081,0,114,4
0,1,0,0,1,85,0
0.468,0.532,0,0.5267,0,59,3
0,0.885,0.115,-0.296,1,126,6
0,1,0,0,0,31,0
0,1,0,0,0,63,2
0,1,0,0,0,125,2
0.33,0.67,0,0.7096,0,131,7
0.064,0.936,0,0.0772,0,114,0
0.227,0.773,0,0.5893,1,132,5
0,1,0,0,0,51,0
0.461,0.539,0,0.6467,0,44,0
0,0.909,0.091,-0.296,0,130,2
0.478,0.522,0,0.6705,0,49,0
0.291,0.709,0,0.5719,0,132,5
0,0.881,0.119,-0.4003,1,138,0
0,1,0,0,3,118,0
0,1,0,0,1,133,3
0.146,0.854,0,0.4161,0,138,6
0.314,0.475,0.211,0.3664,1,54,2
0,1,0,0,0,59,1
0.103,0.724,0.173,-0.1851,0,124,3
0.425,0.575,0,0.8777,0,147,4
0,0.614,0.386,-0.5267,0,52,1
0,1,0,0,0,68,0
0.326,0.674,0,0.4404,0,62,0
0.804,0.196,0,0.6249,0,16,0
0,0.798,0.202,-0.4168,0,83,1
0.052,0.804,0.144,-0.508,0,148,4
0.124,0.752,0.124,0,0,141,1
0.136,0.681,0.183,-0.2387,2,105,0
0,1,0,0,0,40,3
0,1,0,0,0,47,0
0.609,0.257,0.135,0.8118,0,69,3
0,0.862,0.138,-0.1531,0,60,2
0,1,0,0,58,99,1
0.127,0.873,0,0.4404,0,126,5
0.05,0.95,0,0.0387,0,142,0
0.311,0.689,0,0.6714,0,71,3
0.152,0.629,0.22,-0.3164,1,79,0
0.168,0.832,0,0.5,0,136,1
0,1,0,0,0,46,0
0,0.508,0.492,-0.4404,0,27,0
0.243,0.757,0,0.6652,0,121,1
0,1,0,0,0,13,0
0,0.916,0.084,-0.0258,0,103,1
0.259,0.741,0,0.6369,1,71,0
0,1,0,0,0,25,0
0.2,0.8,0,0.4576,0,86,2
0,0.791,0.209,-0.6486,0,126,3
0.162,0.838,0,0.4404,0,93,1
0,1,0,0,1,35,0
0,1,0,0,0,11,0
0.347,0.653,0,0.8413,2,137,1
0.571,0.429,0,0.6114,0,33,0
0,1,0,0,0,74,0
0,0.714,0.286,-0.1531,0,66,3
0,1,0,0,0,52,5
0.538,0.256,0.205,0.5574,0,30,0
0,0.209,0.791,-0.5848,0,19,0
0.333,0.667,0,0.3612,0,41,0
0,0.492,0.508,-0.4767,0,31,3
0,1,0,0,0,57,1
0,1,0,0,0,93,0
0,0.808,0.192,-0.2808,0,65,5
0.787,0.213,0,0.5719,0,20,0
0,1,0,0,0,19,4
0,1,0,0,0,66,1
0,1,0,0,0,14,4
0,0.121,0.879,-0.807,0,24,0
0.195,0.39,0.415,-0.687,0,95,0
0,1,0,0,0,14,0
0.312,0.688,0,0.6739,0,71,0
0,1,0,0,0,19,4
0,1,0,0,0,41,0
0.647,0.228,0.125,0.846,0,54,3
0.176,0.824,0,0.4588,0,100,5
0,0.557,0.443,-0.6973,0,43,0
0.231,0.769,0,0.4404,0,89,0
0.302,0.698,0,0.0772,0,23,0
0.509,0.491,0,0.8065,0,75,0
0.052,0.948,0,0.0387,0,118,0
0.195,0.805,0,0.7003,0,136,4
0,1,0,0,0,62,2
0,0.617,0.383,-0.4767,0,32,4
0,1,0,0,0,35,0
0,0.872,0.128,-0.4215,0,113,3
0.579,0.421,0,0.6705,0,49,0
0.167,0.833,0,0.4215,0,75,0
0.283,0.608,0.109,0.6908,1,132,2
0.239,0.554,0.207,0.1645,0,70,0
0,1,0,0,0,21,0
0,0.364,0.636,-0.5411,0,20,0
0.713,0.287,0,0.9081,0,65,2
0.318,0.682,0,0.4215,0,41,0
0.587,0.413,0,0.8741,0,52,0
0,0.755,0.245,-0.5983,0,74,1
0.326,0.674,0,0.4404,0,47,0
0.309,0.691,0,0.7788,0,87,9
0,1,0,0,0,50,2
0.125,0.779,0.095,0.1759,1,119,0
0.444,0.556,0,0.4939,0,58,1
0,0,1,-0.3612,0,52,0
0.346,0.385,0.269,-0.0516,0,59,0
0,1,0,0,0,66,0
0.351,0.649,0,0.4019,0,40,0
0.326,0.674,0,0.4404,0,40,5
0,1,0,0,0,127,0
0,0.395,0.605,-0.6808,1,24,0
0,1,0,0,0,13,0
0,0.655,0.345,-0.2755,0,42,2
0,1,0,0,0,31,0
0.275,0.725,0,0.2244,0,64,5
0.804,0.196,0,0.9235,0,39,0
0.618,0.382,0,0.8439,2,37,0
0,1,0,0,0,21,0
0,1,0,0,0,19,3
0,1,0,0,0,28,0
0.192,0.385,0.423,-0.4215,0,31,0
0,0.652,0.348,-0.1531,0,31,1
0.2,0.643,0.157,0.1531,0,90,9
0.555,0.445,0,0.5788,0,19,0
0.624,0.376,0,0.7163,0,28,0
0,1,0,0,0,35,0
0,1,0,0,0,16,0
0,1,0,0,0,86,1
0.312,0.688,0,0.6739,0,71,0
0,1,0,0,0,102,3
0,0.801,0.199,-0.126,0,38,0
0,0.667,0.333,-0.5423,0,45,0
0.134,0.749,0.118,0.0772,0,131,1
0,0.72,0.28,-0.5423,1,51,1
0,1,0,0,0,82,0
0.359,0.641,0,0.4215,0,29,0
0,1,0,0,0,21,1
0,0.685,0.315,-0.3182,0,37,0
0,0.311,0.689,-0.7672,0,33,0
0,1,0,0,0,70,11
0,1,0,0,0,11,3
0,0.483,0.517,-0.8658,0,72,2
0,0.312,0.688,-0.296,0,17,0
0.233,0.556,0.211,-0.0493,1,137,3
0,0.617,0.383,-0.4767,0,29,1
0,0.811,0.189,-0.4215,0,100,1
0,1,0,0,0,62,1
0.482,0.518,0,0.7596,0,52,4
0.486,0.514,0,0.906,0,117,9
0.294,0.706,0,0.8531,0,134,3
0,0.761,0.239,-0.296,0,53,1
0,0.803,0.197,-0.4019,0,92,2
0,1,0,0,0,63,0
0.18,0.64,0.18,0,0,97,0
0.115,0.885,0,0.0772,0,75,3
0.177,0.823,0,0.4215,0,99,0
0,0.703,0.297,-0.2755,0,55,1
0.093,0.793,0.114,-0.126,0,123,1
0,1,0,0,0,24,0
0.367,0.633,0,0.4404,0,57,0
0.093,0.506,0.401,-0.8356,0,100,2
0.259,0.741,0,0.3491,0,49,0
0,0.761,0.239,-0.296,0,60,1
0.242,0.758,0,0.4926,0,86,0
0,0,1,-0.5106,0,10,0
0.777,0.223,0,0.8879,0,46,0
0,1,0,0,0,27,0
0,1,0,0,0,30,0
0,1,0,0,0,19,0
0,1,0,0,0,43,0
0,0.654,0.346,-0.6408,0,71,2
0,0.667,0.333,-0.7579,0,137,2
0.11,0.473,0.417,-0.7034,0,85,1
0.187,0.704,0.109,0.296,0,132,4
0,1,0,0,1,21,0
0,0.482,0.518,-0.6486,0,27,0
0.451,0.549,0,0.8037,3,68,6
0.402,0.598,0,0.7482,0,69,2
0,1,0,0,0,38,0
0.431,0.569,0,0.8433,0,96,1
0,0.429,0.571,-0.6115,0,29,1
0,0.222,0.778,-0.5423,0,11,1
0,0.741,0.259,-0.5423,0,68,11
0,1,0,0,0,66,1
0.34,0.616,0.044,0.8916,0,126,0
0.172,0.567,0.261,-0.2263,0,89,6
0,1,0,0,0,95,0
0,0,1,-0.8519,0,17,0
0,1,0,0,0,15,3
0,1,0,0,0,15,0
0,0.529,0.471,-0.791,0,69,3
0.528,0.472,0,0.765,0,54,0
0.138,0.663,0.199,-0.0258,0,79,1
0.143,0.857,0,0.3612,0,95,3
0,0.351,0.649,-0.5719,0,22,1
0,1,0,0,0,37,0
0,0.312,0.688,-0.296,0,14,0
0.294,0.235,0.471,-0.3612,0,32,0
0.206,0.794,0,0.0772,0,42,2
0.118,0.882,0,0.34,0,123,3
0.394,0.606,0,0.3818,0,59,1
0,0.675,0.325,-0.4374,0,52,0
0,1,0,0,0,37,0
0.286,0.714,0,0.4215,0,83,1
0.055,0.815,0.13,-0.3384,0,123,7
0,1,0,0,0,28,3
0.236,0.764,0,0.7125,0,143,5
0.231,0.769,0,0.4019,0,80,1
0.715,0.285,0,0.876,0,45,0
0.205,0.795,0,0.4753,0,120,1
0.308,0.492,0.2,0.5411,0,135,5
0,0.517,0.483,-0.4215,0,34,2
0.081,0.919,0,0.2144,0,142,4
0,1,0,0,0,83,2
0,1,0,0,1,138,0
0.122,0.878,0,0.3612,1,126,3
0,1,0,0,0,62,1
0.245,0.755,0,0.3818,1,107,1
0,1,0,0,0,67,1
0,0.714,0.286,-0.5574,0,57,3
0,1,0,0,0,130,2
0,0.829,0.171,-0.5719,1,129,2
0.31,0.69,0,0.4019,0,42,3
0,1,0,0,0,96,3
0,0.868,0.132,-0.2808,0,69,0
0,1,0,0,1,116,1
0,0.829,0.171,-0.5106,0,93,0
0.677,0.323,0,0.636,0,27,0
0,1,0,0,0,58,0
0,1,0,0,0,45,1
0,0.899,0.101,-0.4019,0,133,2
0.296,0.37,0.333,-0.0772,0,34,0
0,0.815,0.185,-0.3612,0,63,1
0,1,0,0,1,29,0
0,1,0,0,1,44,0
0,0.732,0.268,-0.5093,0,50,0
0,0.738,0.262,-0.4927,0,54,0
0,1,0,0,1,56,0
0,0.678,0.322,-0.6449,0,104,0
0.294,0.706,0,0.3612,0,32,0
0,0.621,0.379,-0.758,0,60,0
0,1,0,0,0,19,1
0,1,0,0,0,60,0
0,1,0,0,0,11,0
0,0.244,0.756,-0.4767,0,20,1
0,1,0,0,0,94,1
0.448,0.552,0,0.6696,0,57,1
0,1,0,0,0,35,0
0.323,0.312,0.365,-0.1027,0,33,1
0,1,0,0,0,26,0
0.403,0.521,0.076,0.7845,0,102,6
0.312,0.688,0,0.7717,0,133,14
0.512,0.488,0,0.6369,0,24,1
0.399,0.601,0,0.8079,0,84,8
0,0.768,0.232,-0.1813,0,57,0
0.268,0.732,0,0.8319,0,136,1
0,0.783,0.217,-0.5574,0,103,1
0.403,0.39,0.208,0.3612,0,31,1
0.158,0.417,0.425,-0.4939,0,49,0
0.343,0.448,0.209,0.2003,0,69,1
0.302,0.698,0,0.0772,0,49,1
0.32,0.68,0,0.5093,0,60,3
0.258,0.742,0,0.7645,1,105,7
0,1,0,0,0,22,0
0,0.894,0.106,-0.0772,1,59,3
0.51,0.49,0,0.807,0,42,0
0,1,0,0,0,54,0
0,0.744,0.256,-0.7351,0,118,5
0.604,0.396,0,0.7269,0,34,1
0,0.803,0.197,-0.2411,0,52,0
0.185,0.517,0.299,-0.4754,0,137,5
0.692,0.308,0,0.6696,0,19,0
0,1,0,0,0,65,0
0.124,0.547,0.328,-0.6239,0,86,3
0,0.476,0.524,-0.6597,0,25,0
0,0.734,0.266,-0.7845,0,137,5
0,1,0,0,0,126,4
0,0.833,0.167,-0.296,0,94,1
0,0.794,0.206,-0.6908,0,132,3
0,0.824,0.176,-0.4585,0,96,7
0,1,0,0,0,75,4
0,1,0,0,0,16,0
0.241,0.632,0.126,0.4588,0,95,2
0,0.69,0.31,-0.6178,0,55,0
0.121,0.62,0.259,-0.3506,0,80,2
0,1,0,0,0,89,6
0,0.604,0.396,-0.507,0,35,0
0.344,0.656,0,0.6369,0,51,4
0.243,0.757,0,0.6652,0,129,1
0.253,0.747,0,0.6625,0,96,3
0.364,0.303,0.333,0.0516,0,19,3
0,0.845,0.155,-0.296,0,89,1
0.157,0.843,0,0.1531,0,68,0
0.149,0.72,0.132,0.0922,0,101,0
0,1,0,0,0,95,2
0,1,0,0,0,24,3
0,0.754,0.246,-0.7351,0,112,3
0,0.619,0.381,-0.4717,0,36,2
0.262,0.738,0,0.0164,0,22,1
0.126,0.874,0,0.1513,0,79,6
0.477,0.436,0.087,0.91,0,122,3
0.706,0.294,0,0.34,0,11,0
0,1,0,0,1,24,0
0,1,0,0,1,23,0
0.052,0.798,0.15,-0.5374,1,134,1
0,0.752,0.248,-0.7399,2,110,1
0,0.87,0.13,-0.34,0,87,1
0,0.721,0.279,-0.4767,1,65,1
0.089,0.626,0.285,-0.762,0,132,2
0.213,0.675,0.112,0.4184,0,75,0
0,1,0,0,0,75,4
0,1,0,0,0,20,4
0,1,0,0,0,18,0
0,1,0,0,0,64,2
0,1,0,0,0,34,0
0,0.667,0.333,-0.128,0,31,0
0.162,0.838,0,0.5661,2,99,0
0.193,0.668,0.14,0.4788,0,122,2
0,1,0,0,1,13,0
0,0.492,0.508,-0.4767,1,29,3
0.365,0.503,0.132,0.5719,0,78,10
0,1,0,0,0,32,0
0,1,0,0,0,44,1
0.259,0.639,0.102,0.5695,1,105,0
0,0.611,0.389,-0.6652,0,48,3
0.385,0.481,0.133,0.7783,0,114,4
0.524,0.476,0,0.5106,0,27,4
0,0.732,0.268,-0.6597,0,84,1
0.181,0.12,0.699,-0.6486,0,31,1
0,1,0,0,0,25,0
0,0.405,0.595,-0.7065,0,34,0
0.671,0.329,0,0.8469,0,39,0
0,1,0,0,0,13,2
0,1,0,0,0,57,0
0.136,0.53,0.334,-0.6093,0,132,4
0,1,0,0,0,46,1
0,1,0,0,0,16,0
0,1,0,0,0,17,0
0,1,0,0,0,124,1
0,0.517,0.483,-0.6808,0,50,1
0,0.642,0.358,-0.7713,0,134,6
0,0.471,0.529,-0.5423,0,40,3
0,1,0,0,0,44,1
0.577,0.423,0,0.6239,0,25,0
0.452,0.316,0.232,0.4738,0,28,1
0,0.533,0.467,-0.5423,0,23,0
0,1,0,0,0,15,0
0,1,0,0,0,11,0
0.188,0.812,0,0.7051,0,106,0
0,1,0,0,0,54,0
0.516,0.484,0,0.4939,0,26,0
0,0.393,0.607,-0.4753,0,19,0
0.393,0.607,0,0.5983,0,39,0
0,1,0,0,0,17,0
0,1,0,0,0,71,3
0.142,0.632,0.225,-0.4767,0,121,2
0,1,0,0,0,13,4
0.3,0.7,0,0.8217,0,128,0
0.313,0.687,0,0.4927,0,46,1
0.23,0.576,0.194,0.128,0,76,3
0,1,0,0,0,13,0
0.108,0.591,0.301,-0.5562,0,129,6
0,0.716,0.284,-0.7876,1,132,5
0.423,0.577,0,0.8945,0,118,2
0,0.755,0.245,-0.5974,0,79,3
0,1,0,0,0,50,0
0,1,0,0,0,119,2
0,0.784,0.216,-0.296,0,51,2
0.178,0.594,0.228,-0.1511,0,51,3
0,0.642,0.358,-0.858,0,125,5
0.143,0.857,0,0.1298,0,57,3
0.101,0.704,0.195,-0.4376,1,93,2
0.352,0.648,0,0.5859,1,67,1
0,0.295,0.705,-0.3384,0,10,0
0.442,0.558,0,0.4877,0,28,0
0.556,0.444,0,0.3612,0,25,1
0.18,0.82,0,0.5093,0,88,4
0,1,0,0,0,89,2
0,1,0,0,0,79,2
0.541,0.459,0,0.8621,0,114,3
0.442,0.558,0,0.9018,1,107,3
0.171,0.715,0.115,0.2909,0,91,2
0.107,0.711,0.182,-0.2263,0,130,3
0,1,0,0,3,49,0
0.283,0.535,0.182,0.2244,0,69,2
0,1,0,0,0,15,0
0,1,0,0,0,9,0
0.064,0.936,0,0.0772,1,132,1
0,1,0,0,0,89,0
0,1,0,0,0,132,0
0,1,0,0,0,136,0
0,0.761,0.239,-0.296,0,48,0
0,1,0,0,0,9,0
0,1,0,0,0,46,2
0.106,0.894,0,0.0772,0,82,1
0,1,0,0,0,67,1
0,1,0,0,1,77,1
0.252,0.748,0,0.6597,0,145,1
0.279,0.558,0.163,0.4337,0,60,0
0,1,0,0,0,46,0
0,0.793,0.207,-0.5719,0,148,2
0,1,0,0,0,40,0
0,1,0,0,0,136,2
0,0.899,0.101,-0.4019,0,137,0
0.423,0.577,0,0.296,1,24,0
0,0.853,0.147,-0.2263,0,68,1
0,1,0,0,0,23,1
0.347,0.653,0,0.705,0,92,9
0,1,0,0,0,15,0
0.119,0.782,0.099,0.128,0,136,0
0,1,0,0,0,99,4
0,1,0,0,0,139,1
0,0.329,0.671,-0.6229,0,17,0
0,0.909,0.091,-0.0516,0,67,1
0,0.782,0.218,-0.6652,0,92,0
0,1,0,0,0,41,2
0.265,0.735,0,0.7227,0,114,8
0.804,0.196,0,0.6249,0,34,1
0.577,0.423,0,0.6249,1,32,3
0.451,0.549,0,0.6249,0,43,0
0,1,0,0,0,23,0
0,1,0,0,0,44,1
0,0.921,0.079,-0.0314,0,69,0
0,0.892,0.108,-0.4201,0,121,4
0,0.581,0.419,-0.5574,0,34,2
0,1,0,0,0,138,12
0.296,0.704,0,0.6369,0,68,6
0.393,0.607,0,0.8658,0,91,0
0,0.694,0.306,-0.296,0,35,0
0,0.377,0.623,-0.5106,0,12,0
0,1,0,0,0,16,0
0,0.388,0.612,-0.7845,0,49,1
0,0.533,0.467,-0.5423,0,23,0
0.04,0.622,0.337,-0.797,0,124,0
0.305,0.695,0,0.7027,0,69,0
0,0.519,0.481,-0.5719,0,35,3
0,1,0,0,0,38,0
0,1,0,0,0,10,1
0,1,0,0,0,36,1
0,0.691,0.309,-0.7488,0,84,1
0,1,0,0,0,63,54
0.34,0.66,0,0.5622,0,77,3
0.439,0.561,0,0.5719,0,51,3
0,0.748,0.252,-0.4019,1,50,0
0.493,0.507,0,0.7783,0,52,0
0.188,0.812,0,0.6588,0,131,6
0.211,0.703,0.086,0.4939,0,135,10
0.583,0.417,0,0.4215,0,17,0
0.223,0.777,0,0.3182,0,50,0
0,1,0,0,0,51,1
0,1,0,0,0,24,0
0,0.844,0.156,-0.3412,0,73,2
0,1,0,0,0,51,4
0.24,0.547,0.213,0.126,0,74,1
0.454,0.546,0,0.943,0,136,1
0,1,0,0,0,14,0
0,1,0,0,0,50,0
0,1,0,0,0,16,1
0,1,0,0,0,9,2
0,1,0,0,0,46,3
0,1,0,0,0,29,0
0.104,0.896,0,0.2732,0,134,4
0.208,0.792,0,0.2732,0,56,3
0.307,0.693,0,0.4767,0,59,1
0,1,0,0,1,20,0
0,1,0,0,1,9,0
0.7,0.3,0,0.6884,0,14,0
0.165,0.744,0.091,0.4184,0,136,4
0,1,0,0,0,96,1
0,1,0,0,0,132,0
0,1,0,0,0,107,0
0,1,0,0,0,18,0
0.6,0.4,0,0.4588,0,27,1
0,1,0,0,0,141,10
0,0.909,0.091,-0.128,0,123,1
0.11,0.506,0.383,-0.7121,0,85,5
0,0.885,0.115,-0.0772,0,121,2
0,1,0,0,1,102,1
0,1,0,0,0,119,1
0.12,0.88,0,0.4588,0,148,3
0,1,0,0,0,59,0
0.191,0.522,0.287,-0.2732,1,91,1
0,0.589,0.411,-0.7088,0,71,1
0,1,0,0,0,15,0
0.473,0.527,0,0.7418,0,66,2
0,1,0,0,0,22,0
0,1,0,0,0,19,0
0,1,0,0,0,7,0
0.241,0.607,0.151,0.3639,0,128,0
0.126,0.717,0.157,-0.1779,0,84,0
0,1,0,0,0,23,0
0,1,0,0,0,31,0
0,0.868,0.132,-0.2924,0,108,0
0,0.59,0.41,-0.4184,0,40,2
0,1,0,0,0,18,2
0.273,0.525,0.203,0.2481,0,110,4
0,0.729,0.271,-0.6229,0,53,2
0,1,0,0,0,26,3
0.133,0.779,0.088,0.3378,1,130,9
0,1,0,0,0,32,6
0,0.675,0.325,-0.4374,0,42,4
0.274,0.726,0,0.6872,0,89,10
0.147,0.699,0.154,-0.0258,0,66,10
0.367,0.633,0,0.54,0,48,9
0.175,0.825,0,0.5267,0,102,5
0,0.899,0.101,-0.4215,0,136,9
0,1,0,0,0,63,4
0,1,0,0,0,93,11
0,1,0,0,0,59,1
0,0.281,0.719,-0.8267,0,24,0
0.17,0.612,0.218,-0.1779,0,54,0
0,0.312,0.688,-0.9008,0,41,0
0.275,0.725,0,0.2263,0,37,0
0,1,0,0,0,23,2
0.429,0.571,0,0.4588,0,36,0
0,1,0,0,0,16,0
0,1,0,0,0,126,3
0.089,0.715,0.196,-0.4201,0,100,1
0.243,0.451,0.306,-0.4482,0,115,1
0,1,0,0,0,52,0
0.395,0.605,0,0.8876,3,107,0
0.209,0.791,0,0.4404,0,83,1
0,0.828,0.172,-0.631,0,136,3
0,1,0,0,1,59,1
0,0.744,0.256,-0.4767,1,85,1
0,0.915,0.085,-0.1027,0,101,2
0.211,0.789,0,0.5766,0,107,2
0.216,0.784,0,0.296,0,53,0
0,0.508,0.492,-0.4404,0,29,1
0.446,0.554,0,0.6166,0,34,2
0.591,0.409,0,0.6523,0,34,2
0.086,0.662,0.252,-0.5423,0,64,6
0.246,0.636,0.118,0.3412,0,52,3
0,1,0,0,0,9,2
0.191,0.545,0.264,-0.34,0,124,7
0,1,0,0,0,66,9
0.138,0.745,0.117,0.1027,1,84,13
0,0.738,0.262,-0.5993,0,62,3
0.855,0.145,0,0.7096,0,22,5
0,1,0,0,0,36,8
0,1,0,0,0,63,5
0,1,0,0,0,39,6
0,1,0,0,4,87,18
0,1,0,0,2,37,5
0,1,0,0,0,94,4
0.324,0.676,0,0.7717,0,91,7
0,1,0,0,0,27,6
0,1,0,0,0,15,3
0.291,0.709,0,0.7616,0,121,11
0,1,0,0,0,29,6
